dataElement,period,orgUnit,value
DeMalImp001,202407,OuLamaHC001,3
DePopEst001,202407,OuLamaHC001,46500
DeMalSus001,202408,OuLamaHC001,222
DeMalRdt001,202408,OuLamaHC001,124
DeMalMic001,202408,OuLamaHC001,55
DeMalPos001,202408,OuLamaHC001,36
DeMalPf0001,202408,OuLamaHC001,27
DeMalPv0001,202408,OuLamaHC001,8
DeMalMix001,202408,OuLamaHC001,1
DeMalSev001,202408,OuLamaHC001,3
DeMalDth001,202408,OuLamaHC001,0
DeMalTrt001,202408,OuLamaHC001,36
DeMalLln001,202408,OuLamaHC001,20
DeMalStk001,202408,OuLamaHC001,1
DeMalExp001,202408,OuLamaHC001,1
DeMalRec001,202408,OuLamaHC001,1
DeMalInd001,202408,OuLamaHC001,33
DeMalImp001,202408,OuLamaHC001,3
DePopEst001,202408,OuLamaHC001,46500
DeMalSus001,202409,OuLamaHC001,249
DeMalRdt001,202409,OuLamaHC001,146
DeMalMic001,202409,OuLamaHC001,68
DeMalPos001,202409,OuLamaHC001,39
DeMalPf0001,202409,OuLamaHC001,32
DeMalPv0001,202409,OuLamaHC001,7
DeMalMix001,202409,OuLamaHC001,0
DeMalSev001,202409,OuLamaHC001,3
DeMalDth001,202409,OuLamaHC001,0
DeMalTrt001,202409,OuLamaHC001,39
DeMalLln001,202409,OuLamaHC001,14
DeMalStk001,202409,OuLamaHC001,0
DeMalExp001,202409,OuLamaHC001,1
DeMalRec001,202409,OuLamaHC001,1
DeMalInd001,202409,OuLamaHC001,36
DeMalImp001,202409,OuLamaHC001,3
DePopEst001,202409,OuLamaHC001,46500
DeMalSus001,202410,OuLamaHC001,137
DeMalRdt001,202410,OuLamaHC001,91
DeMalMic001,202410,OuLamaHC001,33
DeMalPos001,202410,OuLamaHC001,23
DeMalPf0001,202410,OuLamaHC001,17
DeMalPv0001,202410,OuLamaHC001,6
DeMalMix001,202410,OuLamaHC001,0
DeMalSev001,202410,OuLamaHC001,2
DeMalDth001,202410,OuLamaHC001,0
DeMalTrt001,202410,OuLamaHC001,23
DeMalLln001,202410,OuLamaHC001,13
DeMalStk001,202410,OuLamaHC001,0
DeMalExp001,202410,OuLamaHC001,1
DeMalRec001,202410,OuLamaHC001,1
DeMalInd001,202410,OuLamaHC001,22
DeMalImp001,202410,OuLamaHC001,1
DePopEst001,202410,OuLamaHC001,46500
DeMalSus001,202411,OuLamaHC001,87
DeMalRdt001,202411,OuLamaHC001,67
DeMalMic001,202411,OuLamaHC001,15
DeMalPos001,202411,OuLamaHC001,15
DeMalPf0001,202411,OuLamaHC001,13
DeMalPv0001,202411,OuLamaHC001,2
DeMalMix001,202411,OuLamaHC001,0
DeMalSev001,202411,OuLamaHC001,1
DeMalDth001,202411,OuLamaHC001,0
DeMalTrt001,202411,OuLamaHC001,14
DeMalLln001,202411,OuLamaHC001,28
DeMalStk001,202411,OuLamaHC001,0
DeMalExp001,202411,OuLamaHC001,1
DeMalRec001,202411,OuLamaHC001,1
DeMalInd001,202411,OuLamaHC001,14
DeMalImp001,202411,OuLamaHC001,1
DePopEst001,202411,OuLamaHC001,46500
DeMalSus001,202412,OuLamaHC001,82
DeMalRdt001,202412,OuLamaHC001,47
DeMalMic001,202412,OuLamaHC001,16
DeMalPos001,202412,OuLamaHC001,12
DeMalPf0001,202412,OuLamaHC001,10
DeMalPv0001,202412,OuLamaHC001,1
DeMalMix001,202412,OuLamaHC001,1
DeMalSev001,202412,OuLamaHC001,1
DeMalDth001,202412,OuLamaHC001,0
DeMalTrt001,202412,OuLamaHC001,12
DeMalLln001,202412,OuLamaHC001,34
DeMalStk001,202412,OuLamaHC001,3
DeMalExp001,202412,OuLamaHC001,1
DeMalRec001,202412,OuLamaHC001,1
DeMalInd001,202412,OuLamaHC001,11
DeMalImp001,202412,OuLamaHC001,1
DePopEst001,202412,OuLamaHC001,46500
DeMalSus001,202501,OuLamaHC001,11
DeMalRdt001,202501,OuLamaHC001,7
DeMalMic001,202501,OuLamaHC001,3
DeMalPos001,202501,OuLamaHC001,2
DeMalPf0001,202501,OuLamaHC001,1
DeMalPv0001,202501,OuLamaHC001,1
DeMalMix001,202501,OuLamaHC001,0
DeMalSev001,202501,OuLamaHC001,0
DeMalDth001,202501,OuLamaHC001,0
DeMalTrt001,202501,OuLamaHC001,2
DeMalLln001,202501,OuLamaHC001,10
DeMalStk001,202501,OuLamaHC001,0
DeMalExp001,202501,OuLamaHC001,1
DeMalRec001,202501,OuLamaHC001,1
DeMalInd001,202501,OuLamaHC001,2
DeMalImp001,202501,OuLamaHC001,0
DePopEst001,202501,OuLamaHC001,47058
DeMalSus001,202502,OuLamaHC001,56
DeMalRdt001,202502,OuLamaHC001,31
DeMalMic001,202502,OuLamaHC001,14
DeMalPos001,202502,OuLamaHC001,8
DeMalPf0001,202502,OuLamaHC001,7
DeMalPv0001,202502,OuLamaHC001,1
DeMalMix001,202502,OuLamaHC001,0
DeMalSev001,202502,OuLamaHC001,0
DeMalDth001,202502,OuLamaHC001,0
DeMalTrt001,202502,OuLamaHC001,8
DeMalLln001,202502,OuLamaHC001,17
DeMalStk001,202502,OuLamaHC001,0
DeMalExp001,202502,OuLamaHC001,1
DeMalRec001,202502,OuLamaHC001,1
DeMalInd001,202502,OuLamaHC001,7
DeMalImp001,202502,OuLamaHC001,1
DePopEst001,202502,OuLamaHC001,47058
DeMalSus001,202503,OuLamaHC001,85
DeMalRdt001,202503,OuLamaHC001,48
DeMalMic001,202503,OuLamaHC001,22
DeMalPos001,202503,OuLamaHC001,14
DeMalPf0001,202503,OuLamaHC001,10
DeMalPv0001,202503,OuLamaHC001,4
DeMalMix001,202503,OuLamaHC001,0
DeMalSev001,202503,OuLamaHC001,0
DeMalDth001,202503,OuLamaHC001,0
DeMalTrt001,202503,OuLamaHC001,14
DeMalLln001,202503,OuLamaHC001,1
DeMalStk001,202503,OuLamaHC001,0
DeMalExp001,202503,OuLamaHC001,1
DeMalRec001,202503,OuLamaHC001,1
DeMalInd001,202503,OuLamaHC001,13
DeMalImp001,202503,OuLamaHC001,1
DePopEst001,202503,OuLamaHC001,47058
DeMalSus001,202504,OuLamaHC001,190
DeMalRdt001,202504,OuLamaHC001,107
DeMalMic001,202504,OuLamaHC001,50
DeMalPos001,202504,OuLamaHC001,29
DeMalPf0001,202504,OuLamaHC001,25
DeMalPv0001,202504,OuLamaHC001,4
DeMalMix001,202504,OuLamaHC001,0
DeMalSev001,202504,OuLamaHC001,1
DeMalDth001,202504,OuLamaHC001,0
DeMalTrt001,202504,OuLamaHC001,29
DeMalLln001,202504,OuLamaHC001,173
DeMalStk001,202504,OuLamaHC001,0
DeMalExp001,202504,OuLamaHC001,1
DeMalRec001,202504,OuLamaHC001,1
DeMalInd001,202504,OuLamaHC001,28
DeMalImp001,202504,OuLamaHC001,1
DePopEst001,202504,OuLamaHC001,47058
DeMalSus001,202505,OuLamaHC001,204
DeMalRdt001,202505,OuLamaHC001,141
DeMalMic001,202505,OuLamaHC001,49
DeMalPos001,202505,OuLamaHC001,34
DeMalPf0001,202505,OuLamaHC001,25
DeMalPv0001,202505,OuLamaHC001,9
DeMalMix001,202505,OuLamaHC001,0
DeMalSev001,202505,OuLamaHC001,2
DeMalDth001,202505,OuLamaHC001,0
DeMalTrt001,202505,OuLamaHC001,33
DeMalLln001,202505,OuLamaHC001,116
DeMalStk001,202505,OuLamaHC001,0
DeMalExp001,202505,OuLamaHC001,1
DeMalRec001,202505,OuLamaHC001,1
DeMalInd001,202505,OuLamaHC001,29
DeMalImp001,202505,OuLamaHC001,5
DePopEst001,202505,OuLamaHC001,47058
DeMalSus001,202506,OuLamaHC001,241
DeMalRdt001,202506,OuLamaHC001,170
DeMalMic001,202506,OuLamaHC001,25
DeMalPos001,202506,OuLamaHC001,39
DeMalPf0001,202506,OuLamaHC001,30
DeMalPv0001,202506,OuLamaHC001,8
DeMalMix001,202506,OuLamaHC001,1
DeMalSev001,202506,OuLamaHC001,2
DeMalDth001,202506,OuLamaHC001,0
DeMalTrt001,202506,OuLamaHC001,38
DeMalLln001,202506,OuLamaHC001,172
DeMalStk001,202506,OuLamaHC001,0
DeMalExp001,202506,OuLamaHC001,1
DeMalRec001,202506,OuLamaHC001,1
DeMalInd001,202506,OuLamaHC001,34
DeMalImp001,202506,OuLamaHC001,5
DePopEst001,202506,OuLamaHC001,47058
DeMalSus001,202507,OuLamaHC001,120
DeMalRdt001,202507,OuLamaHC001,80
DeMalMic001,202507,OuLamaHC001,29
DeMalPos001,202507,OuLamaHC001,22
DeMalPf0001,202507,OuLamaHC001,18
DeMalPv0001,202507,OuLamaHC001,3
DeMalMix001,202507,OuLamaHC001,1
DeMalSev001,202507,OuLamaHC001,1
DeMalDth001,202507,OuLamaHC001,0
DeMalTrt001,202507,OuLamaHC001,21
DeMalLln001,202507,OuLamaHC001,23
DeMalStk001,202507,OuLamaHC001,0
DeMalExp001,202507,OuLamaHC001,1
DeMalRec001,202507,OuLamaHC001,1
DeMalInd001,202507,OuLamaHC001,21
DeMalImp001,202507,OuLamaHC001,1
DePopEst001,202507,OuLamaHC001,47058
DeMalSus001,202508,OuLamaHC001,228
DeMalRdt001,202508,OuLamaHC001,152
DeMalMic001,202508,OuLamaHC001,24
DeMalPos001,202508,OuLamaHC001,32
DeMalPf0001,202508,OuLamaHC001,26
DeMalPv0001,202508,OuLamaHC001,5
DeMalMix001,202508,OuLamaHC001,1
DeMalSev001,202508,OuLamaHC001,2
DeMalDth001,202508,OuLamaHC001,0
DeMalTrt001,202508,OuLamaHC001,32
DeMalLln001,202508,OuLamaHC001,21
DeMalStk001,202508,OuLamaHC001,1
DeMalExp001,202508,OuLamaHC001,1
DeMalRec001,202508,OuLamaHC001,1
DeMalInd001,202508,OuLamaHC001,30
DeMalImp001,202508,OuLamaHC001,2
DePopEst001,202508,OuLamaHC001,47058
DeMalSus001,202509,OuLamaHC001,142
DeMalRdt001,202509,OuLamaHC001,87
DeMalMic001,202509,OuLamaHC001,24
DeMalPos001,202509,OuLamaHC001,22
DeMalPf0001,202509,OuLamaHC001,17
DeMalPv0001,202509,OuLamaHC001,5
DeMalMix001,202509,OuLamaHC001,0
DeMalSev001,202509,OuLamaHC001,1
DeMalDth001,202509,OuLamaHC001,0
DeMalTrt001,202509,OuLamaHC001,22
DeMalLln001,202509,OuLamaHC001,22
DeMalStk001,202509,OuLamaHC001,0
DeMalExp001,202509,OuLamaHC001,1
DeMalRec001,202509,OuLamaHC001,1
DeMalInd001,202509,OuLamaHC001,19
DeMalImp001,202509,OuLamaHC001,3
DePopEst001,202509,OuLamaHC001,47058
DeMalSus001,202510,OuLamaHC001,92
DeMalRdt001,202510,OuLamaHC001,57
DeMalMic001,202510,OuLamaHC001,25
DeMalPos001,202510,OuLamaHC001,18
DeMalPf0001,202510,OuLamaHC001,16
DeMalPv0001,202510,OuLamaHC001,2
DeMalMix001,202510,OuLamaHC001,0
DeMalSev001,202510,OuLamaHC001,1
DeMalDth001,202510,OuLamaHC001,0
DeMalTrt001,202510,OuLamaHC001,18
DeMalLln001,202510,OuLamaHC001,5
DeMalStk001,202510,OuLamaHC001,0
DeMalExp001,202510,OuLamaHC001,1
DeMalRec001,202510,OuLamaHC001,1
DeMalInd001,202510,OuLamaHC001,16
DeMalImp001,202510,OuLamaHC001,2
DePopEst001,202510,OuLamaHC001,47058
DeMalSus001,202511,OuLamaHC001,83
DeMalRdt001,202511,OuLamaHC001,63
DeMalMic001,202511,OuLamaHC001,14
DeMalPos001,202511,OuLamaHC001,15
DeMalPf0001,202511,OuLamaHC001,13
DeMalPv0001,202511,OuLamaHC001,2
DeMalMix001,202511,OuLamaHC001,0
DeMalSev001,202511,OuLamaHC001,1
DeMalDth001,202511,OuLamaHC001,0
DeMalTrt001,202511,OuLamaHC001,14
DeMalLln001,202511,OuLamaHC001,26
DeMalStk001,202511,OuLamaHC001,0
DeMalExp001,202511,OuLamaHC001,1
DeMalRec001,202511,OuLamaHC001,1
DeMalInd001,202511,OuLamaHC001,13
DeMalImp001,202511,OuLamaHC001,2
DePopEst001,202511,OuLamaHC001,47058
DeMalSus001,202512,OuLamaHC001,39
DeMalRdt001,202512,OuLamaHC001,24
DeMalMic001,202512,OuLamaHC001,9
DeMalPos001,202512,OuLamaHC001,7
DeMalPf0001,202512,OuLamaHC001,6
DeMalPv0001,202512,OuLamaHC001,1
DeMalMix001,202512,OuLamaHC001,0
DeMalSev001,202512,OuLamaHC001,0
DeMalDth001,202512,OuLamaHC001,0
DeMalTrt001,202512,OuLamaHC001,7
DeMalLln001,202512,OuLamaHC001,21
DeMalStk001,202512,OuLamaHC001,1
DeMalExp001,202512,OuLamaHC001,1
DeMalRec001,202512,OuLamaHC001,1
DeMalInd001,202512,OuLamaHC001,6
DeMalImp001,202512,OuLamaHC001,1
DePopEst001,202512,OuLamaHC001,47058
DeMalSus001,202401,OuFasyaHC01,57
DeMalRdt001,202401,OuFasyaHC01,38
DeMalMic001,202401,OuFasyaHC01,10
DeMalPos001,202401,OuFasyaHC01,9
DeMalPf0001,202401,OuFasyaHC01,7
DeMalPv0001,202401,OuFasyaHC01,2
DeMalMix001,202401,OuFasyaHC01,0
DeMalSev001,202401,OuFasyaHC01,1
DeMalDth001,202401,OuFasyaHC01,0
DeMalTrt001,202401,OuFasyaHC01,9
DeMalLln001,202401,OuFasyaHC01,3
DeMalStk001,202401,OuFasyaHC01,0
DeMalExp001,202401,OuFasyaHC01,1
DeMalRec001,202401,OuFasyaHC01,1
DeMalInd001,202401,OuFasyaHC01,9
DeMalImp001,202401,OuFasyaHC01,0
DePopEst001,202401,OuFasyaHC01,24100
DeMalSus001,202402,OuFasyaHC01,46
DeMalRdt001,202402,OuFasyaHC01,32
DeMalMic001,202402,OuFasyaHC01,10
DeMalPos001,202402,OuFasyaHC01,6
DeMalPf0001,202402,OuFasyaHC01,5
DeMalPv0001,202402,OuFasyaHC01,1
DeMalMix001,202402,OuFasyaHC01,0
DeMalSev001,202402,OuFasyaHC01,1
DeMalDth001,202402,OuFasyaHC01,0
DeMalTrt001,202402,OuFasyaHC01,6
DeMalLln001,202402,OuFasyaHC01,23
DeMalStk001,202402,OuFasyaHC01,2
DeMalExp001,202402,OuFasyaHC01,1
DeMalRec001,202402,OuFasyaHC01,1
DeMalInd001,202402,OuFasyaHC01,5
DeMalImp001,202402,OuFasyaHC01,1
DePopEst001,202402,OuFasyaHC01,24100
DeMalSus001,202403,OuFasyaHC01,88
DeMalRdt001,202403,OuFasyaHC01,58
DeMalMic001,202403,OuFasyaHC01,12
DeMalPos001,202403,OuFasyaHC01,10
DeMalPf0001,202403,OuFasyaHC01,8
DeMalPv0001,202403,OuFasyaHC01,2
DeMalMix001,202403,OuFasyaHC01,0
DeMalSev001,202403,OuFasyaHC01,1
DeMalDth001,202403,OuFasyaHC01,0
DeMalTrt001,202403,OuFasyaHC01,10
DeMalLln001,202403,OuFasyaHC01,7
DeMalStk001,202403,OuFasyaHC01,0
DeMalExp001,202403,OuFasyaHC01,1
DeMalRec001,202403,OuFasyaHC01,1
DeMalInd001,202403,OuFasyaHC01,9
DeMalImp001,202403,OuFasyaHC01,1
DePopEst001,202403,OuFasyaHC01,24100
DeMalSus001,202404,OuFasyaHC01,101
DeMalRdt001,202404,OuFasyaHC01,60
DeMalMic001,202404,OuFasyaHC01,24
DeMalPos001,202404,OuFasyaHC01,16
DeMalPf0001,202404,OuFasyaHC01,14
DeMalPv0001,202404,OuFasyaHC01,2
DeMalMix001,202404,OuFasyaHC01,0
DeMalSev001,202404,OuFasyaHC01,1
DeMalDth001,202404,OuFasyaHC01,0
DeMalTrt001,202404,OuFasyaHC01,15
DeMalLln001,202404,OuFasyaHC01,125
DeMalStk001,202404,OuFasyaHC01,0
DeMalExp001,202404,OuFasyaHC01,1
DeMalRec001,202404,OuFasyaHC01,1
DeMalInd001,202404,OuFasyaHC01,14
DeMalImp001,202404,OuFasyaHC01,2
DePopEst001,202404,OuFasyaHC01,24100
DeMalSus001,202405,OuFasyaHC01,163
DeMalRdt001,202405,OuFasyaHC01,109
DeMalMic001,202405,OuFasyaHC01,35
DeMalPos001,202405,OuFasyaHC01,21
DeMalPf0001,202405,OuFasyaHC01,17
DeMalPv0001,202405,OuFasyaHC01,4
DeMalMix001,202405,OuFasyaHC01,0
DeMalSev001,202405,OuFasyaHC01,2
DeMalDth001,202405,OuFasyaHC01,0
DeMalTrt001,202405,OuFasyaHC01,20
DeMalLln001,202405,OuFasyaHC01,94
DeMalStk001,202405,OuFasyaHC01,0
DeMalExp001,202405,OuFasyaHC01,1
DeMalRec001,202405,OuFasyaHC01,1
DeMalInd001,202405,OuFasyaHC01,18
DeMalImp001,202405,OuFasyaHC01,3
DePopEst001,202405,OuFasyaHC01,24100
DeMalSus001,202406,OuFasyaHC01,314
DeMalRdt001,202406,OuFasyaHC01,190
DeMalMic001,202406,OuFasyaHC01,55
DeMalPos001,202406,OuFasyaHC01,43
DeMalPf0001,202406,OuFasyaHC01,35
DeMalPv0001,202406,OuFasyaHC01,8
DeMalMix001,202406,OuFasyaHC01,0
DeMalSev001,202406,OuFasyaHC01,1
DeMalDth001,202406,OuFasyaHC01,0
DeMalTrt001,202406,OuFasyaHC01,43
DeMalLln001,202406,OuFasyaHC01,113
DeMalStk001,202406,OuFasyaHC01,0
DeMalExp001,202406,OuFasyaHC01,1
DeMalRec001,202406,OuFasyaHC01,1
DeMalInd001,202406,OuFasyaHC01,38
DeMalImp001,202406,OuFasyaHC01,5
DePopEst001,202406,OuFasyaHC01,24100
DeMalSus001,202407,OuFasyaHC01,251
DeMalRdt001,202407,OuFasyaHC01,146
DeMalMic001,202407,OuFasyaHC01,46
DeMalPos001,202407,OuFasyaHC01,38
DeMalPf0001,202407,OuFasyaHC01,28
DeMalPv0001,202407,OuFasyaHC01,10
DeMalMix001,202407,OuFasyaHC01,0
DeMalSev001,202407,OuFasyaHC01,1
DeMalDth001,202407,OuFasyaHC01,0
DeMalTrt001,202407,OuFasyaHC01,38
DeMalLln001,202407,OuFasyaHC01,30
DeMalStk001,202407,OuFasyaHC01,0
DeMalExp001,202407,OuFasyaHC01,1
DeMalRec001,202407,OuFasyaHC01,1
DeMalInd001,202407,OuFasyaHC01,34
DeMalImp001,202407,OuFasyaHC01,4
DePopEst001,202407,OuFasyaHC01,24100
DeMalSus001,202408,OuFasyaHC01,231
DeMalRdt001,202408,OuFasyaHC01,134
DeMalMic001,202408,OuFasyaHC01,55
DeMalPos001,202408,OuFasyaHC01,37
DeMalPf0001,202408,OuFasyaHC01,30
DeMalPv0001,202408,OuFasyaHC01,7
DeMalMix001,202408,OuFasyaHC01,0
DeMalSev001,202408,OuFasyaHC01,2
DeMalDth001,202408,OuFasyaHC01,0
DeMalTrt001,202408,OuFasyaHC01,36
DeMalLln001,202408,OuFasyaHC01,6
DeMalStk001,202408,OuFasyaHC01,0
DeMalExp001,202408,OuFasyaHC01,1
DeMalRec001,202408,OuFasyaHC01,1
DeMalInd001,202408,OuFasyaHC01,35
DeMalImp001,202408,OuFasyaHC01,2
DePopEst001,202408,OuFasyaHC01,24100
DeMalSus001,202409,OuFasyaHC01,178
DeMalRdt001,202409,OuFasyaHC01,118
DeMalMic001,202409,OuFasyaHC01,22
DeMalPos001,202409,OuFasyaHC01,22
DeMalPf0001,202409,OuFasyaHC01,16
DeMalPv0001,202409,OuFasyaHC01,6
DeMalMix001,202409,OuFasyaHC01,0
DeMalSev001,202409,OuFasyaHC01,1
DeMalDth001,202409,OuFasyaHC01,0
DeMalTrt001,202409,OuFasyaHC01,22
DeMalLln001,202409,OuFasyaHC01,31
DeMalStk001,202409,OuFasyaHC01,0
DeMalExp001,202409,OuFasyaHC01,1
DeMalRec001,202409,OuFasyaHC01,1
DeMalInd001,202409,OuFasyaHC01,20
DeMalImp001,202409,OuFasyaHC01,2
DePopEst001,202409,OuFasyaHC01,24100
DeMalSus001,202410,OuFasyaHC01,166
DeMalRdt001,202410,OuFasyaHC01,116
DeMalMic001,202410,OuFasyaHC01,16
DeMalPos001,202410,OuFasyaHC01,20
DeMalPf0001,202410,OuFasyaHC01,17
DeMalPv0001,202410,OuFasyaHC01,3
DeMalMix001,202410,OuFasyaHC01,0
DeMalSev001,202410,OuFasyaHC01,1
DeMalDth001,202410,OuFasyaHC01,0
DeMalTrt001,202410,OuFasyaHC01,20
DeMalLln001,202410,OuFasyaHC01,7
DeMalStk001,202410,OuFasyaHC01,2
DeMalExp001,202410,OuFasyaHC01,1
DeMalRec001,202410,OuFasyaHC01,1
DeMalInd001,202410,OuFasyaHC01,19
DeMalImp001,202410,OuFasyaHC01,1
DePopEst001,202410,OuFasyaHC01,24100
DeMalSus001,202411,OuFasyaHC01,61
DeMalRdt001,202411,OuFasyaHC01,50
DeMalMic001,202411,OuFasyaHC01,8
DeMalPos001,202411,OuFasyaHC01,9
DeMalPf0001,202411,OuFasyaHC01,7
DeMalPv0001,202411,OuFasyaHC01,2
DeMalMix001,202411,OuFasyaHC01,0
DeMalSev001,202411,OuFasyaHC01,0
DeMalDth001,202411,OuFasyaHC01,0
DeMalTrt001,202411,OuFasyaHC01,9
DeMalLln001,202411,OuFasyaHC01,24
DeMalStk001,202411,OuFasyaHC01,0
DeMalExp001,202411,OuFasyaHC01,1
DeMalRec001,202411,OuFasyaHC01,1
DeMalInd001,202411,OuFasyaHC01,8
DeMalImp001,202411,OuFasyaHC01,1
DePopEst001,202411,OuFasyaHC01,24100
DeMalSus001,202412,OuFasyaHC01,72
DeMalRdt001,202412,OuFasyaHC01,48
DeMalMic001,202412,OuFasyaHC01,10
DeMalPos001,202412,OuFasyaHC01,9
DeMalPf0001,202412,OuFasyaHC01,7
DeMalPv0001,202412,OuFasyaHC01,2
DeMalMix001,202412,OuFasyaHC01,0
DeMalSev001,202412,OuFasyaHC01,1
DeMalDth001,202412,OuFasyaHC01,0
DeMalTrt001,202412,OuFasyaHC01,9
DeMalLln001,202412,OuFasyaHC01,35
DeMalStk001,202412,OuFasyaHC01,0
DeMalExp001,202412,OuFasyaHC01,1
DeMalRec001,202412,OuFasyaHC01,1
DeMalInd001,202412,OuFasyaHC01,8
DeMalImp001,202412,OuFasyaHC01,1
DePopEst001,202412,OuFasyaHC01,24100
DeMalSus001,202501,OuFasyaHC01,37
DeMalRdt001,202501,OuFasyaHC01,24
DeMalMic001,202501,OuFasyaHC01,8
DeMalPos001,202501,OuFasyaHC01,5
DeMalPf0001,202501,OuFasyaHC01,4
DeMalPv0001,202501,OuFasyaHC01,1
