org_unit_uid,facility,upazila,period,population,rainfall_mm,temperature_c,humidity_pct,suspected_cases,tests_rdt,tests_microscopy,confirmed_cases,pf_cases,pv_cases,mixed_cases,severe_cases,malaria_deaths,cases_treated,llins_distributed,stockout_days,reports_expected,reports_received,indigenous_cases,imported_cases
OuFasyaHC01,Fasyakhali Health Centre,Lama,202509,24389,289,26.9,80,241,132,53,36,28,8,0,3,0,35,17,0,1,1,31,5
OuFasyaHC01,Fasyakhali Health Centre,Lama,202510,24389,208,23.9,83,106,72,22,17,14,3,0,1,0,17,34,0,1,1,14,3
OuFasyaHC01,Fasyakhali Health Centre,Lama,202511,24389,134,23.2,77,80,49,13,11,8,3,0,0,0,11,19,0,1,1,10,1
OuFasyaHC01,Fasyakhali Health Centre,Lama,202512,24389,48,23.6,73,38,21,9,5,4,1,0,0,0,5,33,0,1,1,5,0
OuAziznHC01,Aziznagar Health Centre,Lama,202401,21300,42,24.6,72,64,50,8,7,6,1,0,1,0,7,11,0,1,1,6,1
OuAziznHC01,Aziznagar Health Centre,Lama,202402,21300,36,27.5,73,34,23,8,5,4,1,0,0,0,5,12,0,1,1,5,0
OuAziznHC01,Aziznagar Health Centre,Lama,202403,21300,92,28.2,73,68,45,10,9,8,1,0,0,0,9,4,0,1,1,8,1
OuAziznHC01,Aziznagar Health Centre,Lama,202404,21300,208,29.0,86,105,69,31,19,15,3,1,1,0,19,8,1,1,1,17,2
OuAziznHC01,Aziznagar Health Centre,Lama,202405,21300,254,30.4,86,123,80,21,18,16,2,0,1,0,17,70,0,1,1,15,3
OuAziznHC01,Aziznagar Health Centre,Lama,202406,21300,382,28.4,87,227,134,48,29,24,4,1,2,0,29,33,0,1,1,27,2
OuAziznHC01,Aziznagar Health Centre,Lama,202407,21300,411,27.2,88,249,135,57,31,23,8,0,1,0,31,12,0,1,1,26,5
OuAziznHC01,Aziznagar Health Centre,Lama,202408,21300,333,26.5,86,350,213,72,29,23,5,1,2,0,29,16,1,1,1,25,4
OuAziznHC01,Aziznagar Health Centre,Lama,202409,21300,230,25.7,80,119,88,14,18,15,3,0,1,0,18,5,0,1,1,15,3
OuAziznHC01,Aziznagar Health Centre,Lama,202410,21300,213,23.4,83,102,72,12,15,12,2,1,0,0,14,21,2,1,1,13,2
OuAziznHC01,Aziznagar Health Centre,Lama,202411,21300,87,23.6,75,61,48,10,9,7,2,0,0,0,9,28,0,1,1,8,1
OuAziznHC01,Aziznagar Health Centre,Lama,202412,21300,57,24.1,74,39,29,5,6,5,1,0,0,0,6,19,0,1,1,5,1
OuAziznHC01,Aziznagar Health Centre,Lama,202501,21556,45,24.2,69,29,22,3,4,3,1,0,0,0,4,12,0,1,1,3,1
OuAziznHC01,Aziznagar Health Centre,Lama,202502,21556,58,27.0,74,49,30,11,7,6,1,0,0,0,7,4,0,1,1,6,1
OuAziznHC01,Aziznagar Health Centre,Lama,202503,21556,106,27.7,83,77,55,11,9,7,2,0,1,0,9,2,0,1,1,8,1
OuAziznHC01,Aziznagar Health Centre,Lama,202504,21556,190,30.0,73,121,72,29,15,12,3,0,0,0,15,157,2,1,1,13,2
OuAziznHC01,Aziznagar Health Centre,Lama,202505,21556,328,29.4,91,153,99,22,19,16,3,0,1,0,19,133,0,1,1,16,3
OuAziznHC01,Aziznagar Health Centre,Lama,202506,21556,343,29.4,89,189,118,38,25,20,5,0,1,0,25,167,1,1,1,21,4
OuAziznHC01,Aziznagar Health Centre,Lama,202507,21556,310,28.1,84,196,115,50,26,22,4,0,1,0,26,12,0,1,1,24,2
OuAziznHC01,Aziznagar Health Centre,Lama,202508,21556,341,25.8,89,183,101,45,26,22,4,0,2,0,26,20,1,1,1,25,1
OuAziznHC01,Aziznagar Health Centre,Lama,202509,21556,268,24.7,85,206,124,34,27,23,4,0,1,0,27,16,0,1,1,25,2
OuAziznHC01,Aziznagar Health Centre,Lama,202510,21556,208,23.3,81,150,97,18,18,15,3,0,1,0,18,23,0,1,1,15,3
OuAziznHC01,Aziznagar Health Centre,Lama,202511,21556,122,23.3,77,64,49,11,11,8,3,0,0,0,10,28,0,1,1,10,1
OuAziznHC01,Aziznagar Health Centre,Lama,202512,21556,38,25.3,72,26,17,4,4,3,1,0,0,0,4,29,0,1,1,3,1
OuAlikaHC01,Alikadam Health Complex,Alikadam,202401,38200,46,25.3,74,36,28,4,6,5,1,0,0,0,6,12,2,1,1,6,0
OuAlikaHC01,Alikadam Health Complex,Alikadam,202402,38200,78,26.9,74,51,34,6,7,6,1,0,0,0,7,25,0,1,1,7,0
OuAlikaHC01,Alikadam Health Complex,Alikadam,202403,38200,75,28.2,75,95,55,17,11,9,2,0,1,0,11,29,1,1,1,9,2
OuAlikaHC01,Alikadam Health Complex,Alikadam,202404,38200,218,30.1,84,100,72,17,15,13,2,0,0,0,14,51,0,1,1,14,1
OuAlikaHC01,Alikadam Health Complex,Alikadam,202405,38200,310,29.7,88,175,107,41,31,25,6,0,2,0,31,96,1,1,1,28,3
OuAlikaHC01,Alikadam Health Complex,Alikadam,202406,38200,339,29.2,84,172,123,37,27,20,7,0,2,0,27,8,2,1,1,25,2
OuAlikaHC01,Alikadam Health Complex,Alikadam,202407,38200,382,27.2,86,217,152,26,35,28,7,0,1,0,34,25,0,1,1,30,5
OuAlikaHC01,Alikadam Health Complex,Alikadam,202408,38200,346,25.3,86,202,114,41,32,28,4,0,1,0,32,30,3,1,1,29,3
OuAlikaHC01,Alikadam Health Complex,Alikadam,202409,38200,322,24.8,89,173,110,51,31,24,7,0,2,0,31,34,0,1,1,29,2
OuAlikaHC01,Alikadam Health Complex,Alikadam,202410,38200,200,23.6,82,130,81,33,19,14,5,0,1,0,19,32,1,1,1,18,1
OuAlikaHC01,Alikadam Health Complex,Alikadam,202411,38200,96,22.6,77,66,52,9,13,11,1,1,0,0,13,20,2,1,1,12,1
OuAlikaHC01,Alikadam Health Complex,Alikadam,202412,38200,22,23.9,79,57,31,14,9,7,2,0,1,0,9,0,0,1,1,8,1
OuAlikaHC01,Alikadam Health Complex,Alikadam,202501,38658,15,24.8,73,8,5,1,1,1,0,0,0,0,1,16,0,1,1,1,0
OuAlikaHC01,Alikadam Health Complex,Alikadam,202502,38658,77,26.3,74,59,38,10,10,8,2,0,1,0,10,8,0,1,1,9,1
OuAlikaHC01,Alikadam Health Complex,Alikadam,202503,38658,101,27.6,76,49,32,6,8,6,2,0,0,0,8,11,3,1,1,7,1
OuAlikaHC01,Alikadam Health Complex,Alikadam,202504,38658,204,27.8,84,111,77,28,21,18,3,0,0,0,21,132,3,1,1,20,1
OuAlikaHC01,Alikadam Health Complex,Alikadam,202505,38658,300,29.7,82,229,140,36,34,25,9,0,2,0,34,169,0,1,1,31,3
OuAlikaHC01,Alikadam Health Complex,Alikadam,202506,38658,388,28.8,86,266,174,30,33,25,8,0,3,1,33,27,0,1,1,28,5
OuAlikaHC01,Alikadam Health Complex,Alikadam,202507,38658,388,28.7,89,185,122,27,31,25,5,1,1,0,31,15,0,1,1,29,2
OuAlikaHC01,Alikadam Health Complex,Alikadam,202508,38658,365,25.9,85,290,184,41,46,34,12,0,3,0,46,32,2,1,1,41,5
OuAlikaHC01,Alikadam Health Complex,Alikadam,202509,38658,291,25.9,84,207,154,37,36,27,9,0,3,0,35,35,1,1,1,31,5
OuAlikaHC01,Alikadam Health Complex,Alikadam,202510,38658,198,24.0,83,126,70,26,22,18,3,1,1,0,22,35,2,1,1,19,3
OuAlikaHC01,Alikadam Health Complex,Alikadam,202511,38658,110,24.2,77,86,55,14,14,11,3,0,0,0,14,7,2,1,1,13,1
OuAlikaHC01,Alikadam Health Complex,Alikadam,202512,38658,41,23.7,75,53,32,12,7,6,1,0,0,0,6,21,0,1,1,6,1
OuKurukHC01,Kurukpata Health Centre,Alikadam,202401,17600,27,24.9,70,64,42,8,9,7,2,0,1,0,9,7,2,1,1,8,1
OuKurukHC01,Kurukpata Health Centre,Alikadam,202402,17600,56,25.7,77,45,32,10,9,8,1,0,1,0,9,1,0,1,1,8,1
OuKurukHC01,Kurukpata Health Centre,Alikadam,202403,17600,139,26.8,78,57,33,14,9,7,2,0,1,0,9,31,0,1,1,9,0
OuKurukHC01,Kurukpata Health Centre,Alikadam,202404,17600,209,29.8,79,153,93,39,29,25,4,0,2,0,29,123,0,1,1,26,3
OuKurukHC01,Kurukpata Health Centre,Alikadam,202405,17600,337,28.9,86,179,119,21,30,22,7,1,2,0,29,92,0,1,1,26,4
OuKurukHC01,Kurukpata Health Centre,Alikadam,202406,17600,338,30.5,88,223,130,56,36,27,9,0,2,0,36,161,0,1,1,31,5
OuKurukHC01,Kurukpata Health Centre,Alikadam,202407,17600,340,28.1,91,244,160,56,45,35,9,1,3,0,45,23,0,1,1,42,3
OuKurukHC01,Kurukpata Health Centre,Alikadam,202408,17600,382,27.3,95,246,157,31,40,31,9,0,1,0,40,24,0,1,1,38,2
OuKurukHC01,Kurukpata Health Centre,Alikadam,202409,17600,314,23.7,82,106,66,22,19,14,4,1,0,0,19,13,3,1,1,18,1
OuKurukHC01,Kurukpata Health Centre,Alikadam,202410,17600,184,22.9,82,141,91,35,23,18,5,0,1,0,23,8,1,1,1,20,3
OuKurukHC01,Kurukpata Health Centre,Alikadam,202411,17600,127,23.4,78,68,37,16,11,10,1,0,1,0,11,20,0,1,1,10,1
OuKurukHC01,Kurukpata Health Centre,Alikadam,202412,17600,76,23.4,78,50,37,9,8,6,2,0,1,0,7,27,0,1,1,7,1
OuKurukHC01,Kurukpata Health Centre,Alikadam,202501,17811,35,25.6,73,34,22,7,5,4,1,0,0,0,4,31,3,1,1,4,1
OuKurukHC01,Kurukpata Health Centre,Alikadam,202502,17811,38,27.2,76,49,36,6,8,7,1,0,1,0,7,26,3,1,1,7,1
OuKurukHC01,Kurukpata Health Centre,Alikadam,202503,17811,66,28.7,77,75,57,12,16,12,4,0,1,0,15,7,2,1,1,15,1
OuKurukHC01,Kurukpata Health Centre,Alikadam,202504,17811,228,28.9,83,202,130,31,24,21,3,0,1,0,24,100,0,1,1,22,2
OuKurukHC01,Kurukpata Health Centre,Alikadam,202505,17811,295,29.2,92,165,112,24,30,26,4,0,2,0,29,85,1,1,1,26,4
OuKurukHC01,Kurukpata Health Centre,Alikadam,202506,17811,342,28.9,87,224,128,56,35,25,10,0,2,0,35,52,0,1,1,33,2
OuKurukHC01,Kurukpata Health Centre,Alikadam,202507,17811,374,28.0,88,227,158,38,36,28,8,0,3,0,36,11,2,1,1,33,3
OuKurukHC01,Kurukpata Health Centre,Alikadam,202508,17811,378,26.3,88,269,165,44,42,34,8,0,2,0,42,14,0,1,1,36,6
OuKurukHC01,Kurukpata Health Centre,Alikadam,202509,17811,284,24.5,84,152,115,18,28,20,7,1,2,0,28,0,0,1,1,24,4
OuKurukHC01,Kurukpata Health Centre,Alikadam,202510,17811,218,24.1,84,118,81,19,22,17,5,0,1,0,21,32,2,1,1,19,3
OuKurukHC01,Kurukpata Health Centre,Alikadam,202511,17811,134,23.2,80,71,52,12,12,10,2,0,0,0,11,16,0,1,1,10,2
OuKurukHC01,Kurukpata Health Centre,Alikadam,202512,17811,49,23.3,76,56,39,9,12,9,3,0,1,0,12,27,0,1,1,11,1
OuNaikhHC01,Naikhongchhari Health Complex,Naikhongchhari,202401,41100,41,24.7,79,38,28,5,6,5,1,0,0,0,5,9,3,1,1,5,1
OuNaikhHC01,Naikhongchhari Health Complex,Naikhongchhari,202402,41100,60,26.5,78,34,27,4,5,4,1,0,0,0,4,6,0,1,1,4,1
OuNaikhHC01,Naikhongchhari Health Complex,Naikhongchhari,202403,41100,130,28.4,79,79,43,18,13,11,2,0,1,0,12,15,0,1,1,12,1
OuNaikhHC01,Naikhongchhari Health Complex,Naikhongchhari,202404,41100,215,28.4,77,108,89,14,20,18,2,0,0,0,20,36,1,1,1,19,1
OuNaikhHC01,Naikhongchhari Health Complex,Naikhongchhari,202405,41100,291,29.6,85,127,84,28,21,18,3,0,1,0,21,106,3,1,1,19,2
OuNaikhHC01,Naikhongchhari Health Complex,Naikhongchhari,202406,41100,373,28.6,95,200,133,28,31,24,7,0,2,0,31,5,0,1,1,27,4
OuNaikhHC01,Naikhongchhari Health Complex,Naikhongchhari,202407,41100,365,28.4,92,256,176,24,41,33,7,1,4,0,41,7,0,1,1,37,4
OuNaikhHC01,Naikhongchhari Health Complex,Naikhongchhari,202408,41100,373,27.3,90,156,107,34,28,23,4,1,2,0,28,15,0,1,1,27,1
OuNaikhHC01,Naikhongchhari Health Complex,Naikhongchhari,202409,41100,260,24.4,80,201,136,49,32,26,6,0,3,0,31,0,2,1,1,29,3
OuNaikhHC01,Naikhongchhari Health Complex,Naikhongchhari,202410,41100,182,24.3,80,190,121,30,21,17,4,0,1,0,21,0,0,1,1,19,2
OuNaikhHC01,Naikhongchhari Health Complex,Naikhongchhari,202411,41100,111,23.0,76,86,57,24,14,10,4,0,1,0,14,32,2,1,1,13,1
OuNaikhHC01,Naikhongchhari Health Complex,Naikhongchhari,202412,41100,94,23.6,76,67,53,7,10,8,2,0,1,0,10,23,1,1,1,9,1
OuNaikhHC01,Naikhongchhari Health Complex,Naikhongchhari,202501,41593,23,24.6,74,28,15,6,4,3,1,0,0,0,3,35,0,1,1,4,0
OuNaikhHC01,Naikhongchhari Health Complex,Naikhongchhari,202502,41593,75,26.4,79,44,30,7,6,4,2,0,0,0,6,10,0,1,1,5,1
OuNaikhHC01,Naikhongchhari Health Complex,Naikhongchhari,202503,41593,68,28.7,75,72,45,14,11,9,2,0,0,0,11,23,0,1,1,10,1
OuNaikhHC01,Naikhongchhari Health Complex,Naikhongchhari,202504,41593,237,29.3,85,119,82,13,19,15,4,0,1,0,19,153,0,1,1,18,1
OuNaikhHC01,Naikhongchhari Health Complex,Naikhongchhari,202505,41593,287,31.3,83,134,76,28,20,15,4,1,1,0,20,179,2,1,1,18,2
OuNaikhHC01,Naikhongchhari Health Complex,Naikhongchhari,202506,41593,403,29.1,96,295,188,53,40,30,10,0,3,0,40,83,0,1,1,35,5
OuNaikhHC01,Naikhongchhari Health Complex,Naikhongchhari,202507,41593,374,27.1,87,270,186,53,40,31,8,1,2,0,39,17,1,1,1,36,4
OuNaikhHC01,Naikhongchhari Health Complex,Naikhongchhari,202508,41593,326,26.0,87,220,149,23,25,21,4,0,1,0,25,12,0,1,1,23,2
OuNaikhHC01,Naikhongchhari Health Complex,Naikhongchhari,202509,41593,298,25.1,85,137,85,33,24,18,5,1,0,0,24,11,3,1,1,20,4
OuNaikhHC01,Naikhongchhari Health Complex,Naikhongchhari,202510,41593,195,24.0,87,142,93,18,17,13,3,1,1,0,17,9,0,1,1,16,1
OuNaikhHC01,Naikhongchhari Health Complex,Naikhongchhari,202511,41593,168,22.6,84,84,65,10,16,13,3,0,1,0,15,4,1,1,1,14,2
OuNaikhHC01,Naikhongchhari Health Complex,Naikhongchhari,202512,41593,45,23.9,76,61,48,8,10,8,2,0,1,0,10,34,1,1,1,9,1
OuKaptaiHC1,Kaptai Health Complex,Kaptai,202401,49200,41,25.7,75,47,26,10,5,4,1,0,0,0,4,33,0,1,1,5,0
OuKaptaiHC1,Kaptai Health Complex,Kaptai,202402,49200,70,27.1,77,52,34,7,7,5,2,0,0,0,7,27,0,1,1,6,1
OuKaptaiHC1,Kaptai Health Complex,Kaptai,202403,49200,179,27.1,80,49,40,6,6,5,1,0,0,0,5,34,0,1,1,6,0
OuKaptaiHC1,Kaptai Health Complex,Kaptai,202404,49200,144,29.5,89,94,70,18,13,10,3,0,0,0,13,13,2,1,1,11,2
OuKaptaiHC1,Kaptai Health Complex,Kaptai,202405,49200,256,29.6,79,166,104,22,14,10,4,0,0,0,14,55,0,1,1,13,1
OuKaptaiHC1,Kaptai Health Complex,Kaptai,202406,49200,356,28.8,85,187,121,32,25,19,6,0,1,0,24,120,3,1,1,22,3
OuKaptaiHC1,Kaptai Health Complex,Kaptai,202407,49200,408,28.5,90,167,111,25,19,17,2,0,1,0,19,28,3,1,1,18,1
OuKaptaiHC1,Kaptai Health Complex,Kaptai,202408,49200,322,26.3,87,235,154,39,28,20,8,0,2,0,28,3,0,1,1,24,4
OuKaptaiHC1,Kaptai Health Complex,Kaptai,202409,49200,309,25.1,87,168,104,41,18,15,2,1,1,0,18,7,0,1,1,17,1
OuKaptaiHC1,Kaptai Health Complex,Kaptai,202410,49200,201,23.1,76,80,57,15,12,10,1,1,1,0,11,6,0,1,1,10,2
OuKaptaiHC1,Kaptai Health Complex,Kaptai,202411,49200,110,23.5,75,76,53,10,10,8,2,0,0,0,9,9,2,1,1,9,1
OuKaptaiHC1,Kaptai Health Complex,Kaptai,202412,49200,42,23.8,72,19,13,4,3,2,1,0,0,0,3,8,0,1,1,3,0
OuKaptaiHC1,Kaptai Health Complex,Kaptai,202501,49790,15,24.9,75,21,12,6,3,2,1,0,0,0,2,21,0,1,1,3,0
OuKaptaiHC1,Kaptai Health Complex,Kaptai,202502,49790,32,26.5,78,31,17,7,4,3,1,0,0,0,4,20,3,1,1,3,1
OuKaptaiHC1,Kaptai Health Complex,Kaptai,202503,49790,126,26.8,78,58,37,10,7,6,1,0,0,0,7,7,0,1,1,6,1
OuKaptaiHC1,Kaptai Health Complex,Kaptai,202504,49790,245,29.1,84,103,74,15,13,10,3,0,1,0,13,39,2,1,1,12,1
OuKaptaiHC1,Kaptai Health Complex,Kaptai,202505,49790,311,31.2,85,129,84,24,19,14,5,0,1,0,19,116,1,1,1,18,1
OuKaptaiHC1,Kaptai Health Complex,Kaptai,202506,49790,340,29.3,85,179,136,22,23,19,4,0,2,0,23,33,0,1,1,19,4
OuKaptaiHC1,Kaptai Health Complex,Kaptai,202507,49790,378,28.8,92,185,114,27,22,16,6,0,1,0,21,14,3,1,1,20,2
OuKaptaiHC1,Kaptai Health Complex,Kaptai,202508,49790,363,26.9,87,167,110,19,17,15,2,0,0,0,17,18,0,1,1,15,2
OuKaptaiHC1,Kaptai Health Complex,Kaptai,202509,49790,277,24.9,86,143,98,36,23,19,3,1,2,0,23,17,1,1,1,22,1
OuKaptaiHC1,Kaptai Health Complex,Kaptai,202510,49790,233,24.2,81,128,74,28,15,12,2,1,1,0,14,7,0,1,1,14,1
OuKaptaiHC1,Kaptai Health Complex,Kaptai,202511,49790,125,23.6,79,69,43,19,9,8,1,0,0,0,9,5,0,1,1,8,1
OuKaptaiHC1,Kaptai Health Complex,Kaptai,202512,49790,43,24.5,78,57,39,8,7,6,1,0,0,0,7,10,1,1,1,6,1
OuChandrHC1,Chandraghona Health Centre,Kaptai,202401,27300,56,24.2,73,25,15,5,3,2,1,0,0,0,3,1,0,1,1,3,0
OuChandrHC1,Chandraghona Health Centre,Kaptai,202402,27300,108,26.8,78,43,28,5,5,4,1,0,0,0,5,8,0,1,1,4,1
OuChandrHC1,Chandraghona Health Centre,Kaptai,202403,27300,129,27.7,79,61,39,14,8,7,1,0,0,0,8,13,1,1,1,7,1
OuChandrHC1,Chandraghona Health Centre,Kaptai,202404,27300,204,28.8,83,98,72,10,14,10,4,0,1,0,14,126,0,1,1,12,2
OuChandrHC1,Chandraghona Health Centre,Kaptai,202405,27300,291,29.6,86,156,90,35,20,16,4,0,2,0,20,133,2,1,1,19,1
OuChandrHC1,Chandraghona Health Centre,Kaptai,202406,27300,363,29.3,88,212,170,28,31,25,6,0,1,0,31,127,0,1,1,28,3
OuChandrHC1,Chandraghona Health Centre,Kaptai,202407,27300,344,27.6,84,176,115,21,21,16,5,0,1,0,21,12,2,1,1,19,2
OuChandrHC1,Chandraghona Health Centre,Kaptai,202408,27300,350,26.3,86,173,116,35,23,18,5,0,1,0,23,9,2,1,1,20,3
OuChandrHC1,Chandraghona Health Centre,Kaptai,202409,27300,289,24.5,86,131,85,33,18,13,5,0,1,0,18,27,0,1,1,17,1
OuChandrHC1,Chandraghona Health Centre,Kaptai,202410,27300,172,23.4,78,127,83,30,18,15,2,1,1,0,18,20,0,1,1,16,2
OuChandrHC1,Chandraghona Health Centre,Kaptai,202411,27300,95,22.4,79,55,39,7,7,6,1,0,1,0,7,13,0,1,1,7,0
OuChandrHC1,Chandraghona Health Centre,Kaptai,202412,27300,92,24.0,71,64,39,14,7,5,2,0,0,0,7,34,0,1,1,6,1
OuChandrHC1,Chandraghona Health Centre,Kaptai,202501,27628,15,24.4,76,33,24,6,5,4,1,0,0,0,4,8,3,1,1,5,0
OuChandrHC1,Chandraghona Health Centre,Kaptai,202502,27628,53,25.7,76,26,16,5,3,2,1,0,0,0,2,4,1,1,1,3,0
OuChandrHC1,Chandraghona Health Centre,Kaptai,202503,27628,140,27.9,79,103,66,13,10,9,1,0,0,0,10,2,0,1,1,9,1
OuChandrHC1,Chandraghona Health Centre,Kaptai,202504,27628,151,30.2,80,82,55,20,11,8,3,0,1,0,11,89,1,1,1,9,2
OuChandrHC1,Chandraghona Health Centre,Kaptai,202505,27628,316,29.7,86,97,63,24,16,12,4,0,0,0,15,139,0,1,1,13,3
OuChandrHC1,Chandraghona Health Centre,Kaptai,202506,27628,381,27.1,87,161,116,23,26,19,7,0,1,0,25,61,2,1,1,24,2
OuChandrHC1,Chandraghona Health Centre,Kaptai,202507,27628,389,27.8,83,187,119,45,23,17,6,0,1,0,23,26,0,1,1,22,1
